text,diagnose,ICD,token_text,length
经血管心脏化学消融术,经导管心脏化学消融术,37.3404,经 血管 心脏 化学 消融术,5
经尿道尿道肿瘤电切术,经尿道尿道病损电切术,58.3101,经 尿道 尿道 肿瘤 电切术,5
胸腔镜下肺部病损切除术,胸腔镜下肺病损切除术,32.2003,胸腔镜 下 肺部 病损 切除术,5
右手内固定取出术,腕骨和掌骨置入装置去除,78.6400,右手 内 固定 取出 术,5
二期经皮肾镜碎石术,经皮肾镜碎石术（PCNL）,55.0402,二期 经皮 肾镜 碎石 术,5
左侧颅骨钻孔减压术,颅骨钻孔减压术,01.2414,左侧 颅骨 钻孔 减压 术,5
右侧CP角脑膜瘤切除术,脑膜病损切除术,01.5106,右侧 CP 角 脑膜瘤 切除术,5
胸腔镜下肺部分切除术,内镜下肺病损或肺组织的切除术或破坏术,32.2800,胸腔镜 下 肺 部分 切除术,5
左外耳道新生物切除术,外耳病损切除术,18.2901,左 外耳道 新 生物 切除术,5
左跟腱陈旧性断裂修补术,肌腱修补术,83.8803,左 跟腱 陈旧性 断裂 修补术,5
腹腔镜下卵巢病损切除术,腹腔镜卵巢病损切除术,65.2501,腹腔镜 下 卵巢 病损 切除术,5
胆囊切除术(51.2),胆囊切除术,51.2200,胆囊 切除术 ( 51.2 ),5
左侧输尿管膀胱再吻合术,输尿管膀胱吻合术,56.7400,左侧 输尿管 膀胱 再 吻合术,5
鞍结节脑膜瘤显微切除术,脑膜病损切除术,01.5106,鞍 结节 脑膜瘤 显微 切除术,5
经血管心脏射频消融术,经导管心脏射频消融术,37.3401,经 血管 心脏 射频 消融术,5
左侧半月神经节射频热凝术,三叉神经半月节射频热凝术,04.2x08,左侧 半月 神经节 射频 热凝术,5
股骨内固定装置取出术,股骨内固定装置去除术,78.6501,股骨 内 固定装置 取出 术,5
导航下经皮穿刺椎体成形术,经皮椎骨成形术,81.6500,导航 下经皮 穿刺 椎体 成形术,5
胸腔镜辅助左肺大疱切除术,胸腔镜下肺大疱切除术,32.2002,胸腔镜 辅助 左肺 大疱 切除术,5
右侧额叶占位性病变切除术,额叶病损切除术,01.5909,右侧 额叶 占位性 病变 切除术,5
内窥镜下脑内血肿引流术,内镜下脑血肿引流术,01.3906,内窥镜 下脑 内 血肿 引流术,5
宫腔镜检查+分段诊刮,宫腔镜诊断性刮宫术,69.0902,宫腔镜 检查 + 分段 诊刮,5
腹腔镜下右肾上腺占位切除术,腹腔镜肾上腺病损切除术,07.2102,腹腔镜 下右 肾上腺 占位 切除术,5
骶骨肿瘤切开活检术,椎骨活组织检查,77.4904,骶骨 肿瘤 切开 活检 术,5
输尿管镜下尿道扩张术,尿道扩张,58.6x00,输尿管 镜下 尿道 扩张 术,5
左侧睾丸扭转复位术,睾丸扭转复位术,63.5201,左侧 睾丸 扭转 复位 术,5
双侧股骨钢板取出术,股骨内固定装置去除术,78.6501,双侧 股骨 钢板 取出 术,5
化疗泵体内置入术,化疗泵置入术,86.0603,化疗 泵 体内 置入 术,5
右侧下位甲状旁腺腺瘤切除术,甲状旁腺病损切除术,06.8903,右侧 下位 甲状旁腺 腺瘤 切除术,5
经皮穿刺椎体活检术,椎骨活组织检查,77.4904,经皮 穿刺 椎体 活检 术,5
右股骨髓内钉取出术,股骨内固定装置去除术,78.6501,右股 骨髓 内钉 取出 术,5
cVATS右上肺部分切除术,胸腔镜下肺叶部分切除术,32.3001,cVATS 右上 肺 部分 切除术,5
右侧颞叶癫痫病灶切除术,颞叶病损切除术,01.5913,右侧 颞叶 癫痫病 灶 切除术,5
腹腔镜下膀胱根治性切除术,腹腔镜下膀胱根治切除术,57.7103,腹腔镜 下 膀胱 根治性 切除术,5
LS左肾上腺肿物切除术,腹腔镜肾上腺病损切除术,07.2102,LS 左 肾上腺 肿物 切除术,5
腰椎棘突间钢板植入术,椎骨内固定术,78.5904,腰椎 棘突 间 钢板 植入术,5
微创腰椎后路腰椎间盘摘除术,腰椎间盘切除术,80.5107,微创 腰椎 后路 腰椎间盘 摘除术,5
右股骨占位活检术,股骨活组织检查,77.4500,右 股骨 占位 活检 术,5
双膝内固定取出术,骨置入装置去除,78.6000,双膝 内 固定 取出 术,5
L4椎管内占位切除术,脊髓或脊膜病损的切除术或破坏术,03.4x00,L4 椎管 内 占位 切除术,5
右侧蝶骨嵴脑膜瘤切除术,脑膜病损切除术,01.5106,右侧 蝶骨 嵴 脑膜瘤 切除术,5
右双踝内固定取出术,踝关节内固定装置去除术,78.6705,右双踝 内 固定 取出 术,5
右腕管切开减压术,腕管松解术,04.4300,右腕 管 切开 减压 术,5
左侧去骨瓣减压术,颅骨去骨瓣减压术,01.2413,左侧 去 骨瓣 减压 术,5
瘢痕子宫下段剖宫产,低位子宫下段剖宫产,74.1x00,瘢痕 子宫 下 段 剖宫产,5
左侧腕部正中神经松解术,正中神经松解术,04.4907,左侧 腕部 正中 神经 松解术,5
颅骨凹陷骨折复位术,颅骨骨折复位术,02.0203,颅骨 凹陷 骨折 复位 术,5
右侧阴部神经注射术,周围神经注射,04.8000,右侧 阴部 神经 注射 术,5
腹腔镜右侧肾上腺肿物切除术,腹腔镜肾上腺病损切除术,07.2102,腹腔镜 右侧 肾上腺 肿物 切除术,5
颅内血肿穿刺外引流术,颅内穿刺引流术,01.0901,颅内 血肿 穿刺 外 引流术,5
胸腔镜下胸腺病损切除术,胸腺病损切除术,07.8101,胸腔镜 下 胸腺 病损 切除术,5
右眼青光眼阀植入术。,青光眼阀置入术,12.6704,右眼 青光眼 阀 植入术 。,5
踝关节脱位切开复位术,踝脱位开放性复位术,79.8700,踝关节 脱位 切开 复位 术,5
耻骨上经膀胱前列腺摘除术,耻骨上经膀胱前列腺切除术,60.3x01,耻骨 上经 膀胱 前列腺 摘除术,5
腹腔镜下鞘状突高位结扎术,腹腔镜下鞘状突高位结扎术,61.4905,腹腔镜 下鞘 状突 高位 结扎术,5
右侧跟骨牵引术,跟骨牵引术,93.4407,右侧 跟 骨 牵引 术,5
显微镜下睾丸切开取精术,睾丸切开术,62.0x00,显微镜 下 睾丸 切开 取精术,5
右侧颈内动脉瘤栓塞术,头和颈部血管内修补或闭合,39.7200,右侧 颈内 动脉瘤 栓塞 术,5
左侧肾母细胞瘤根治术,单侧肾切除术,55.5101,左侧 肾 母细胞 瘤 根治术,5
白内障超声乳化抽吸术,白内障晶状体乳化和抽吸,13.4100,白内障 超声 乳化 抽吸 术,5
右侧肾上腺嗜铬细胞瘤切除术,肾上腺病损切除术,07.2100,右侧 肾上腺 嗜铬细胞 瘤 切除术,5
经鼻内镜下垂体瘤切除术,经蝶骨垂体病损切除术,07.6201,经鼻 内镜 下 垂体瘤 切除术,5
左足内固定取出术,骨置入装置去除,78.6000,左足 内 固定 取出 术,5
股骨内固定物取出术,股骨内固定装置去除术,78.6501,股骨 内 固定物 取出 术,5
经尿道膀胱肿物电切,经尿道膀胱病损切除术,57.4901,经 尿道 膀胱 肿物 电切,5
左侧三叉神经感觉后根切断术,切断三叉神经,04.0200,左侧 三叉神经 感觉 后根 切断术,5
右跟腱松解延长术,肌腱延长术,83.8502,右 跟腱 松解 延长 术,5
阔韧带肌瘤剥除术,阔韧带病损切除术,69.1903,阔 韧带 肌瘤 剥除 术,5
右侧肾上腺肿瘤切除术。,肾上腺病损切除术,07.2100,右侧 肾上腺 肿瘤 切除术 。,5
腹腔镜右侧肾上腺腺瘤切除术,腹腔镜肾上腺病损切除术,07.2102,腹腔镜 右侧 肾上腺 腺瘤 切除术,5
左前交叉韧带重建术,膝关节前交叉韧带重建术,81.4501,左 前 交叉 韧带 重建术,5
右额叶占位病变切除术,额叶病损切除术,01.5909,右 额叶 占位 病变 切除术,5
肾切除术（右）,单侧肾切除术,55.5101,肾 切除术 （ 右 ）,5
右侧冠状动脉支架置入术,去除冠状动脉梗阻和支架置入,36.0,右侧 冠状动脉 支架 置入 术,5
乳房肿块切除活检术,乳房病损局部切除术,85.2100,乳房 肿块 切除 活检 术,5
右腓骨上段切除术,腓骨部分切除术,77.8702,右 腓骨 上 段 切除术,5
扁桃体切除术（双）,扁桃体切除术不伴腺样增殖体切除术,28.2x00,扁桃体 切除术 （ 双 ）,5
房间隔缺损介入封堵术,房间隔缺损闭式封堵术,35.5201,房间隔 缺损 介入 封堵 术,5
椎体成形术(L1),经皮椎骨成形术,81.6500,椎体 成形术 ( L1 ),5
右侧股骨钢板取出术,股骨内固定装置去除术,78.6501,右侧 股骨 钢板 取出 术,5
脑室腹腔分流管探查术,脑室分流管探查术,02.4102,脑室 腹腔 分流管 探查 术,5
经胸房间隔缺损封堵术,房间隔缺损闭式封堵术,35.5201,经胸 房间隔 缺损 封堵 术,5
左侧腕管正中神经松解术,正中神经松解术,04.4907,左侧 腕管 正中 神经 松解术,5
右手拇指多指畸形矫形术,上肢截断术,84.0000,右手 拇指 多指 畸形 矫形术,5
支撑喉镜下喉病损切除术,支撑喉镜下喉病损切除术,30.0911,支撑 喉镜 下喉 病损 切除术,5
双侧输尿管导管置入术,输尿管导管插入术,59.8x00,双侧 输尿管 导管 置入 术,5
双侧下颌角截骨术。,下颌骨截骨成形术,76.6402,双侧 下颌 角截 骨术 。,5
脑室腹腔分流管调整术,脑室腹腔分流管调整术,02.4203,脑室 腹腔 分流管 调整 术,5
胸腔镜下纵膈占位切除术,胸腔镜下纵隔病损切除术,34.3x04,胸腔镜 下 纵膈 占位 切除术,5
侧脑室－腹腔分流术,侧脑室腹腔内分流术,02.3401,侧脑室 － 腹腔 分流 术,5
胸腔镜下纵隔病损切除术,胸腔镜下纵隔病损切除术,34.3x04,胸腔镜 下 纵隔 病损 切除术,5
内镜下会厌囊肿切除术,内镜下会厌病损切除术,30.0903,内镜 下 会厌 囊肿 切除术,5
胸骨固定钢丝取出术,胸骨内固定装置去除术,78.6107,胸骨 固定 钢丝 取出 术,5
左侧斜颈腱性条索切断术,腱索切断术,35.3202,左侧 斜颈 腱性 条索 切断术,5
颈部甲状舌管囊肿切除术,甲状舌管病损切除术,06.7x01,颈部 甲状 舌管 囊肿 切除术,5
胸腔镜下胸腺肿物切除术,胸腺病损切除术,07.8101,胸腔镜 下 胸腺 肿物 切除术,5
胸腔镜下双侧交感神经离断术,胸腔镜下交感神经切断术,05.0x01,胸腔镜 下 双侧 交感神经 离断术,5
双正中神经松解术。,正中神经松解术,04.4907,双 正中 神经 松解术 。,5
后纵隔肿瘤切除术。,纵隔病损切除术,34.3x02,后 纵隔 肿瘤 切除术 。,5
腹腔镜下左肾癌根治术,腹腔镜下单侧肾切除术,55.5103,腹腔镜 下 左 肾癌 根治术,5
右耳鼓室成形术1型,"鼓室成形术,I型",19.4x01,右耳 鼓室 成形术 1 型,5
唇裂术后继发畸形矫正术,唇成形术,27.5903,唇裂 术后 继发 畸形 矫正术,5
右甲状腺腺叶切除术。,单侧甲状腺叶切除术,06.2x00,右 甲状腺 腺叶 切除术 。,5
A8B8C8D8阻生齿拔除术。,阻生牙拔除术,23.1902,A8B8C8D8 阻生齿 拔除 术 。,5
右额叶占位显微切除术,额叶病损切除术,01.5909,右 额叶 占位 显微 切除术,5
左足内固定装置取出术,骨置入装置去除,78.6000,左足 内 固定装置 取出 术,5
腹腔镜下左卵巢囊肿核除术,腹腔镜卵巢病损切除术,65.2501,腹腔镜 下 左 卵巢囊肿 核除术,5
膀胱镜下拔双J管,膀胱镜D-J管取出术,97.6402,膀胱 镜下拔 双 J 管,5
全膝关节假体翻修术,膝关节置换修正术,81.5500,全 膝关节 假体 翻修 术,5
腹腔镜肝囊肿开窗引流术,腹腔镜下肝囊肿开窗引流术,50.0x03,腹腔镜 肝 囊肿 开窗 引流术,5
右甲状腺+峡部切除术,单侧甲状腺切除伴甲状腺峡部切除术,06.2x02,右 甲状腺 + 峡部 切除术,5
双侧输尿管支架更换术,输尿管支架置换术,59.9901,双侧 输尿管 支架 更换 术,5
全腔-肺动脉连接术,腔静脉-肺动脉吻合术,39.2100,全腔 - 肺动脉 连接 术,5
左肺上叶舌段切除,肺节段切除术,32.3901,左肺 上 叶舌 段 切除,5
VATS前纵隔肿瘤切除术,胸腔镜下纵隔病损切除术,34.3x04,VATS 前 纵隔 肿瘤 切除术,5
利凡诺羊膜腔注射流产,利凡诺羊膜腔内注射终止妊娠,75.0x02,利凡诺 羊膜 腔 注射 流产,5
双足内固定物取出术,骨置入装置去除,78.6000,双足 内 固定物 取出 术,5
椎管内占位性病变切除术,脊髓或脊膜病损的切除术或破坏术,03.4x00,椎管 内 占位性 病变 切除术,5
经右胸纵隔囊肿切除术,纵隔病损切除术,34.3x02,经右 胸 纵隔 囊肿 切除术,5
颅骨去骨瓣减压术,颅骨去骨瓣减压术,01.2413,颅骨 去 骨瓣 减压 术,5
经腹左侧卵巢囊肿剥除术,卵巢病损切除术,65.2901,经腹 左侧 卵巢囊肿 剥除 术,5
小脑蚓部肿瘤切除术,小脑蚓部病损切除术,01.5924,小脑 蚓 部 肿瘤 切除术,5
腘动脉球囊扩张成形术,腘动脉球囊血管成形术,39.5009,腘 动脉 球囊 扩张 成形术,5
右手内固定物取出术,腕骨和掌骨置入装置去除,78.6400,右手 内 固定物 取出 术,5
鼻内镜下腺样体切除术,内镜下腺样体切除术,28.6x02,鼻 内镜 下腺样 体 切除术,5
右侧三叉神经感觉后根切断术,切断三叉神经,04.0200,右侧 三叉神经 感觉 后根 切断术,5
halo-vest架外固定术,Halo-Vest架外固定术,93.4202,halo - vest 架外 固定术,5
右下甲状旁腺腺瘤切除术,甲状旁腺病损切除术,06.8903,右 下 甲状旁腺 腺瘤 切除术,5
C5/6椎间盘造影术,椎间盘造影,87.2101,C5 / 6 椎间盘 造影术,5
分娩流产后电吸刮宫术,流产后电吸刮宫术,69.5202,分娩 流产 后电吸 刮宫 术,5
左侧甲状腺良性肿瘤切除术。,甲状腺病损切除术,06.3100,左侧 甲状腺 良性肿瘤 切除术 。,5
左侧甲状腺腺叶切除术。,单侧甲状腺叶切除术,06.2x00,左侧 甲状腺 腺叶 切除术 。,5
选择性左右心导管检查术,联合的右心和左心导管置入,37.2300,选择性 左右 心导管 检查 术,5
经鼻内镜脑脊液漏修补术,内镜下脑脊液鼻漏修补术,02.1208,经鼻 内镜 脑脊液 漏 修补术,5
尺骨切开复位内固定,尺骨骨折切开复位内固定术,79.3202,尺骨 切开 复位 内 固定,5
脊柱后路生长棒植入术,脊柱生长阀置入术,84.8203,脊柱 后路 生长 棒 植入术,5
左侧下位甲状旁腺腺瘤切除术,甲状旁腺病损切除术,06.8903,左侧 下位 甲状旁腺 腺瘤 切除术,5
腰1椎体成型术,经皮椎骨成形术,81.6500,腰 1 椎体 成型 术,5
大脑半球深部肿瘤切除术,大脑病损切除术,01.5930,大脑 半球 深部 肿瘤 切除术,5
支撑喉镜声带囊肿切除术,内镜下声带病损切除术,30.0905,支撑 喉镜 声带 囊肿 切除术,5
双侧乳房假体取出术,去除乳房植入物,85.9400,双侧 乳房 假体 取出 术,5
脊柱内固定拆除术,脊柱内固定装置去除术,78.6907,脊柱 内 固定 拆除 术,5
腹腔镜下左侧输卵管切除术,腹腔镜单侧输卵管切除术,66.4x02,腹腔镜 下 左侧 输卵管 切除术,5
气管切开口缝合术,气管造口闭合术,31.7201,气管 切 开口 缝合 术,5
颅骨钛钢片修补术。,颅骨钛板置入术,02.0502,颅骨 钛 钢片 修补术 。,5
肾囊肿去顶减压术,肾囊肿去顶术,55.0105,肾囊肿 去 顶 减压 术,5
胸骨固定钢丝拔除术,胸骨内固定装置去除术,78.6107,胸骨 固定 钢丝 拔除 术,5
胸腔镜经右胸胸腺切除术,胸腺病损切除术,07.8101,胸腔镜 经右 胸 胸腺 切除术,5
左胫骨肿物活检术,胫骨活组织检查,77.4701,左 胫骨 肿物 活检 术,5
右侧腕管正中神经松解术,正中神经松解术,04.4907,右侧 腕管 正中 神经 松解术,5
左DDH术后取内固定,骨盆内固定装置去除术,78.6901,左 DDH 术后 取内 固定,5
右眼前房冲洗术,前房冲洗术,12.9102,右 眼前 房 冲洗 术,5
双侧腔镜下交感神经切断术,胸腔镜下交感神经切断术,05.0x01,双侧 腔 镜下 交感神经 切断术,5
右侧半月神经节射频热凝术,三叉神经半月节射频热凝术,04.2x08,右侧 半月 神经节 射频 热凝术,5
右甲状腺叶切除术。,单侧甲状腺叶切除术,06.2x00,右 甲状腺 叶 切除术 。,5
甲状腺左叶，峡部切除术,单侧甲状腺切除伴甲状腺峡部切除术,06.2x02,甲状腺 左叶 ， 峡部 切除术,5
胸骨固定钢丝拆除术,胸骨内固定装置去除术,78.6107,胸骨 固定 钢丝 拆除 术,5
经T管胆道镜检查,经T管胆道镜检查,51.9809,经 T 管 胆道 镜检查,5
左侧甲状腺+峡部切除术,单侧甲状腺切除伴甲状腺峡部切除术,06.2x02,左侧 甲状腺 + 峡部 切除术,5
直肠经腹会阴联合切除术,腹会阴直肠切除术,48.5000,直肠 经腹 会阴 联合 切除术,5
经蝶鞍区占位切除术,鞍区病损切除术,01.5902,经 蝶鞍 区 占位 切除术,5
腹腔镜下肾上腺部分切除术,腹腔镜肾上腺部分切除术,07.2902,腹腔镜 下 肾上腺 部分 切除术,5
骶骨肿瘤穿刺活检术,椎骨活组织检查,77.4904,骶骨 肿瘤 穿刺 活检 术,5
经皮肝穿刺胆管引流术,经皮经肝胆管引流术,51.9804,经皮 肝 穿刺 胆管 引流术,5
VATS辅助食管病损切除术,胸腔镜食管病损切除术,42.3311,VATS 辅助 食管 病损 切除术,5
右侧人工全髋关节置换术,全髋关节置换,81.5100,右侧 人工 全 髋关节 置换术,5
左甲状腺腺叶切除术。,单侧甲状腺叶切除术,06.2x00,左 甲状腺 腺叶 切除术 。,5
经鼻蝶窦垂体瘤显微切除术,经蝶骨垂体病损切除术,07.6201,经鼻 蝶窦 垂体瘤 显微 切除术,5
阴道壁囊肿剥除术,阴道病损切除术,70.3301,阴道 壁 囊肿 剥除 术,5
右侧跟腱断裂缝合术,肌腱修补术,83.8803,右侧 跟腱 断裂 缝合 术,5
有创心内电生理检查,侵入性电生理测定导管术,37.2600,有 创心 内电 生理 检查,5
喉镜下声带粘连松解术,内镜下声带粘连松解术,31.9204,喉镜 下 声带 粘连 松解术,5
支撑喉镜下喉血管瘤切除术,支撑喉镜下喉病损切除术,30.0911,支撑 喉镜 下喉 血管瘤 切除术,5
右侧甲状腺肿物切除术。,甲状腺病损切除术,06.3100,右侧 甲状腺肿 物 切除术 。,5
腹腔镜下特殊肝段切除术,腹腔镜下肝段切除术,50.2203,腹腔镜 下 特殊 肝段 切除术,5
腹腔镜子宫肌瘤剥除术,子宫肌瘤切除术,68.2901,腹腔镜 子宫 肌瘤 剥除 术,5
右膝外侧半月板部分切除术,膝半月板部分切除术,80.6x03,右膝 外侧 半月板 部分 切除术,5
左侧上颌骨囊肿刮治术,颌骨囊肿摘除术,76.2x04,左侧 上颌骨 囊肿 刮治 术,5
腹腔镜下左肾盂成形,腹腔镜下肾盂成形术,55.8704,腹腔镜 下 左 肾盂 成形,5
右中指伸肌腱吻合术,手部伸肌腱缝合术,82.4501,右 中指 伸 肌腱 吻合术,5
右三叉神经痛微血管减压术,三叉神经微血管减压术,04.4101,右 三叉神经痛 微血管 减压 术,5
骶骨内固定物取出术,脊柱内固定装置去除术,78.6907,骶骨 内 固定物 取出 术,5
胸腔镜下后纵隔肿瘤切除术,胸腔镜下纵隔病损切除术,34.3x04,胸腔镜 下后 纵隔 肿瘤 切除术,5
右股静脉穿刺置管术,股静脉穿刺置管术,38.9304,右股 静脉 穿刺 置 管术,5
左鼓室成形I型,"鼓室成形术,I型",19.4x01,左 鼓室 成形 I 型,5
硬膜下积液钻孔引流术,硬脑膜下钻孔引流术,01.3108,硬膜 下 积液 钻孔 引流术,5
导航下右额叶占位切除术,额叶病损切除术,01.5909,导航 下右 额叶 占位 切除术,5
经单鼻蝶窦垂体瘤切除术,经蝶骨垂体病损切除术,07.6201,经单 鼻 蝶窦 垂体瘤 切除术,5
右肾上腺嗜铬细胞瘤切除术,肾上腺病损切除术,07.2100,右 肾上腺 嗜铬细胞 瘤 切除术,5
左股骨双动头置换术,人工股骨头置换术,81.5201,左 股骨 双动 头 置换术,5
右顶叶占位显微切除术,顶叶病损切除术,01.5908,右 顶叶 占位 显微 切除术,5
腹腔镜下右侧肾上腺切除术,腹腔镜单侧肾上腺切除术,07.2201,腹腔镜 下 右侧 肾上腺 切除术,5
宫腔镜下宫腔粘连松解术,宫腔镜子宫内膜粘连松解术,68.2101,宫腔镜 下 宫腔 粘连 松解术,5
CT引导肝癌射频消融术,CT引导下肝病损射频消融术,50.2401,CT 引导 肝癌 射频 消融术,5
右侧上颌神经射频热凝术,颅和周围神经的破坏术,04.2x00,右侧 上颌 神经 射频 热凝术,5
左侧甲状腺叶切除术。,单侧甲状腺叶切除术,06.2x00,左侧 甲状腺 叶 切除术 。,5
右颞叶海绵状血管瘤切除术,颞叶病损切除术,01.5913,右 颞叶 海绵状 血管瘤 切除术,5
左肾窦内肾盂切开取石,肾盂切开取石术,55.1101,左肾 窦内 肾盂 切开 取石,5
大脑开颅脑脊液漏修补术,脑脊液漏修补术,02.1203,大脑 开颅 脑脊液 漏 修补术,5
左髂动脉支架成形术,髂动脉支架置入术,39.9004,左 髂 动脉 支架 成形术,5
右侧三叉神经痛微血管减压术,三叉神经微血管减压术,04.4101,右侧 三叉神经痛 微血管 减压 术,5
经尿道前列腺电切除术,经尿道前列腺切除术（TURP）,60.2902,经 尿道 前列腺 电 切除术,5
VATS双侧交感神经干切断术,胸腔镜下交感神经切断术,05.0x01,VATS 双侧 交感神经 干 切断术,5
永久性心脏双腔起搏器植入术,双腔永久起搏器置入术,37.8301,永久性 心脏 双腔 起搏器 植入术,5
左桡骨小头切除术,桡骨部分切除术,77.8301,左 桡骨 小 头 切除术,5
右上位甲状旁腺腺瘤切除术,甲状旁腺病损切除术,06.8903,右 上位 甲状旁腺 腺瘤 切除术,5
B超引导下前列腺穿刺,闭合性[经皮][针吸]前列腺活组织检查,60.1100,B超 引导 下 前列腺 穿刺,5
胸腔镜下左下肺切除术,胸腔镜下肺叶切除术,32.4100,胸腔镜 下 左下 肺 切除术,5
喉镜下会厌囊肿切除术,内镜下会厌病损切除术,30.0903,喉镜 下 会厌 囊肿 切除术,5
右跟骨骨牵引术,跟骨牵引术,93.4407,右 跟 骨骨 牵引 术,5
神经内镜下鞍区肿瘤切除术,鞍区病损切除术,01.5902,神经 内镜 下鞍区 肿瘤 切除术,5
右额钻孔脑膜切开引流术,脑膜切开引流术,01.3107,右额 钻孔 脑膜 切开 引流术,5
胸腔镜下左肺大疱切除术,胸腔镜下肺大疱切除术,32.2002,胸腔镜 下 左 肺大疱 切除术,5
右跟骨牵引术,跟骨牵引术,93.4407,右 跟 骨 牵引 术,5
左侧椎动脉动脉瘤栓塞术,经导管椎动脉栓塞术,39.7213,左侧 椎动脉 动脉瘤 栓塞 术,5
脊柱内固定物取出术,脊柱内固定装置去除术,78.6907,脊柱 内 固定物 取出 术,5
下颌骨骨折切开复位术,下颌骨骨折开放性复位术,76.7600,下颌骨 骨折 切开 复位 术,5
甲状腺左右叶大部切除术,甲状腺大部切除术,06.3901,甲状腺 左右 叶 大部 切除术,5
眶上神经射频热凝术,颅和周围神经的破坏术,04.2x00,眶 上 神经 射频 热凝术,5
胸腔镜双侧交感神经链切断术,胸腔镜下交感神经切断术,05.0x01,胸腔镜 双侧 交感神经 链 切断术,5
颅骨钛板置入术,颅骨钛板置入术,02.0502,颅骨 钛 板 置入 术,5
右顶叶窦旁脑膜瘤切除术,脑膜病损切除术,01.5106,右 顶叶 窦旁 脑膜瘤 切除术,5
脊柱内固定装置取出术,脊柱内固定装置去除术,78.6907,脊柱 内 固定装置 取出 术,5
包皮环切术（传统）,包皮环切术,64.0x00,包皮 环切术 （ 传统 ）,5
原切口入路颅骨修补术,颅成形术,02.0,原 切口 入路 颅骨 修补术,5
左膝关节清创缝合术,膝关节切开术,80.1600,左 膝关节 清创 缝合 术,5
腹腔镜胃间质瘤切除术,腹腔镜下胃病损切除术,43.4203,腹腔镜 胃 间质 瘤 切除术,5
骶骨肿物穿刺活检术,椎骨活组织检查,77.4904,骶骨 肿物 穿刺 活检 术,5
颈部甲状舌管囊肿摘除术,甲状舌管病损切除术,06.7x01,颈部 甲状 舌管 囊肿 摘除术,5
右跟腱修补缝合术,肌腱修补术,83.8803,右 跟腱 修补 缝合 术,5
移植肾输尿管膀胱再植术,移植肾输尿管膀胱吻合术,55.8601,移植 肾 输尿管 膀胱 再植术,5
主动脉－冠状动脉旁路移植术,主动脉冠状动脉旁路移植，为心脏血管再形成术,36.1000,主动脉 － 冠状动脉 旁路 移植术,5
右胫腓骨截骨矫形术,腓骨缩短术,78.2702,右 胫 腓骨 截骨 矫形术,5
截肢（趾）术,趾截断术,84.1100,截肢 （ 趾 ） 术,5
顶部脑膜膨出切除修补术,脑膜膨出修补术,02.1202,顶部 脑膜 膨出 切除 修补术,5
经腹右肾上腺嗜铬细胞瘤切除术,肾上腺病损切除术,07.2100,经腹右 肾上腺 嗜铬细胞 瘤 切除术,5
上腔静脉球囊扩张术,腔静脉球囊血管成形术,39.5012,上腔 静脉 球囊 扩张 术,5
右膝关节镜下肿物切除术,关节镜膝关节病损切除术,80.8602,右 膝关节 镜下 肿物 切除术,5
双侧输尿管DJ管置换术,输尿管支架置换术,59.9901,双侧 输尿管 DJ 管 置换术,5
右乳前哨淋巴结活检术,前哨淋巴结活组织检查,40.1105,右乳 前哨 淋巴结 活检 术,5
经尿道巨大前列腺电切术,经尿道前列腺切除术（TURP）,60.2902,经 尿道 巨大 前列腺 电切术,5
右侧侧脑室钻孔外引流术,脑室钻孔引流术,01.3901,右侧 侧脑室 钻孔 外 引流术,5
左颞叶占位病变切除术,颞叶病损切除术,01.5913,左 颞叶 占位 病变 切除术,5
右腘动脉切开取栓术,腘动脉取栓术,38.0802,右 腘 动脉 切开 取栓术,5
左侧甲状腺腺叶及峡部切除术,单侧甲状腺切除伴甲状腺峡部切除术,06.2x02,左侧 甲状腺 腺叶 及峡部 切除术,5
左跟腱断裂修复术,肌腱修补术,83.8803,左 跟腱 断裂 修复 术,5
硬膜下血肿钻孔引流术,硬脑膜下钻孔引流术,01.3108,硬膜 下 血肿 钻孔 引流术,5
锁骨内固定取出术,锁骨内固定装置去除术,78.6103,锁骨 内 固定 取出 术,5
经尿道输尿管碎石术,经尿道输尿管和肾盂梗阻去除,56.0x00,经 尿道 输尿管 碎石 术,5
腔镜下左甲状腺切除术,单侧甲状腺叶切除术,06.2x00,腔镜 下 左 甲状腺 切除术,5
左侧永久心脏起搏器置入术,首次或置换永久起搏器置入,37.8000,左侧 永久 心脏起搏器 置入 术,5
舌系带延长术+成形术,舌系带整形术,25.9101,舌系带 延长 术 + 成形术,5
胸腔镜下右肺中叶切除,胸腔镜下肺叶切除术,32.4100,胸腔镜 下 右肺 中叶 切除,5
左侧经皮心脏射频消融术,经导管心脏射频消融术,37.3401,左侧 经皮 心脏 射频 消融术,5
左侧甲状腺叶及峡部切除术,单侧甲状腺切除伴甲状腺峡部切除术,06.2x02,左侧 甲状腺 叶及 峡部 切除术,5
胫骨骨折闭合复位术,胫骨骨折闭合性复位术,79.0601,胫骨 骨折 闭合 复位 术,5
后交通动脉瘤夹闭术,后交通动脉瘤夹闭术,39.5104,后 交通 动脉瘤 夹 闭术,5
后腹腔镜肾上腺肿物切除术,腹腔镜肾上腺病损切除术,07.2102,后 腹腔镜 肾上腺 肿物 切除术,5
肠镜下结肠息肉摘除术,内镜下结肠病损切除术,45.4302,肠镜 下 结肠 息肉 摘除术,5
右胸壁肿块扩大切除术,胸壁病损切除术,34.4x01,右 胸壁 肿块 扩大 切除术,5
